uniqueid,bank_account,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
uniqueid_4831,No,Rural,Yes,5.0,37,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_3050,Yes,Rural,Yes,,40,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
uniqueid_4890,No,Rural,Yes,4.0,74,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_8604,No,Rural,Yes,7.0,46,Female,Spouse,Married/Living together,No formal education,Informally employed
uniqueid_1737,No,Rural,Yes,4.0,29,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_1757,No,Rural,Yes,6.0,42,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_6369,No,Rural,Yes,3.0,62,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_83,No,Rural,Yes,4.0,30,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_6401,No,Rural,No,4.0,23,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
uniqueid_653,No,Rural,Yes,7.0,33,Female,Spouse,Married/Living together,No formal education,Informally employed
uniqueid_5107,Yes,Urban,Yes,4.0,70,Male,Head of Household,Widowed,No formal education,Other Income
uniqueid_4573,No,Urban,Yes,6.0,43,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_4516,No,Rural,Yes,3.0,31,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_3290,No,Rural,Yes,3.0,45,Male,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_3071,No,Rural,Yes,6.0,34,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_7902,Yes,Rural,Yes,5.0,57,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_5088,No,Rural,Yes,,20,Female,Child,Single/Never Married,Primary education,Remittance Dependent
uniqueid_3409,No,Urban,Yes,6.0,58,Female,Spouse,Married/Living together,Primary education,Other Income
uniqueid_3013,No,Rural,Yes,6.0,37,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_7052,Yes,Rural,Yes,4.0,37,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
uniqueid_5753,No,Rural,Yes,4.0,67,Female,Spouse,Married/Living together,No formal education,Remittance Dependent
uniqueid_7606,No,Rural,Yes,8.0,18,Female,Child,Single/Never Married,Primary education,Informally employed
uniqueid_6549,No,Rural,Yes,5.0,45,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_8524,No,Rural,Yes,3.0,19,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
uniqueid_3330,No,Rural,Yes,4.0,26,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_7710,No,Rural,Yes,3.0,35,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_4489,No,Rural,Yes,5.0,18,Male,Child,Single/Never Married,Secondary education,Self employed
uniqueid_7357,Yes,Rural,Yes,9.0,19,Male,Child,Single/Never Married,Secondary education,Informally employed
uniqueid_3494,Yes,Urban,Yes,6.0,36,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_3566,Yes,Rural,Yes,4.0,26,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
uniqueid_664,No,Rural,Yes,3.0,30,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
uniqueid_448,No,Urban,Yes,2.0,30,Male,Head of Household,Single/Never Married,Primary education,Informally employed
uniqueid_1039,No,Rural,Yes,,55,Female,Head of Household,Divorced/Seperated,Primary education,Remittance Dependent
uniqueid_7054,No,Rural,Yes,3.0,23,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_860,No,Rural,Yes,5.0,42,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_5652,No,Rural,No,1.0,71,Female,Head of Household,Divorced/Seperated,No formal education,Remittance Dependent
uniqueid_5689,No,Urban,Yes,5.0,17,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
uniqueid_3592,No,Rural,Yes,7.0,46,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_823,No,Rural,Yes,6.0,44,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_4274,No,Rural,Yes,1.0,35,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_6151,No,Rural,Yes,3.0,19,Male,Child,Single/Never Married,Primary education,Remittance Dependent
uniqueid_604,No,Rural,No,5.0,95,Male,Head of Household,Married/Living together,No formal education,Government Dependent
uniqueid_5411,No,Rural,Yes,2.0,45,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
uniqueid_4365,Yes,Rural,Yes,2.0,24,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_1510,No,Rural,Yes,3.0,75,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_2445,Yes,Rural,Yes,,33,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_8724,No,Rural,Yes,2.0,61,Female,Head of Household,Widowed,Primary education,Farming and Fishing
uniqueid_8716,No,Rural,No,6.0,40,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_3323,No,Rural,Yes,,75,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_3143,No,Rural,No,5.0,38,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_5269,No,Rural,Yes,6.0,20,Female,Child,Single/Never Married,Primary education,Informally employed
uniqueid_5097,No,Urban,Yes,7.0,19,Female,Other non-relatives,Single/Never Married,Secondary education,Informally employed
uniqueid_413,No,Rural,Yes,5.0,29,Female,Spouse,Married/Living together,Primary education,Self employed
uniqueid_7186,No,Rural,Yes,3.0,25,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_3338,No,Rural,Yes,4.0,56,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_5588,No,Rural,Yes,3.0,21,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
uniqueid_2139,No,Rural,Yes,5.0,38,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_1163,No,Rural,No,5.0,27,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_6638,No,Rural,Yes,3.0,70,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
uniqueid_8677,No,Rural,Yes,,59,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_8457,No,Rural,Yes,3.0,30,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_7626,No,Rural,Yes,3.0,75,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_3135,No,Rural,No,2.0,55,Female,Head of Household,Widowed,Primary education,Informally employed
uniqueid_5507,No,Rural,Yes,2.0,91,Female,Head of Household,Widowed,No formal education,Self employed
uniqueid_3799,No,Rural,Yes,6.0,56,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_4194,No,Rural,Yes,5.0,18,Female,Other relative,Single/Never Married,Primary education,Informally employed
uniqueid_5291,No,Rural,Yes,5.0,35,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_7020,Yes,Rural,Yes,2.0,28,Female,Spouse,Married/Living together,Secondary education,Self employed
uniqueid_6376,No,Rural,Yes,6.0,41,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_4702,No,Rural,Yes,2.0,26,Female,Head of Household,Single/Never Married,Secondary education,Farming and Fishing
uniqueid_8376,No,Urban,Yes,7.0,51,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_1071,No,Rural,Yes,3.0,26,Male,Head of Household,Married/Living together,Secondary education,Informally employed
uniqueid_3372,No,Rural,Yes,6.0,51,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_6746,No,Rural,No,1.0,37,Female,Head of Household,Divorced/Seperated,No formal education,Informally employed
uniqueid_1458,No,Rural,Yes,3.0,42,Female,Head of Household,Widowed,Primary education,Farming and Fishing
uniqueid_2190,No,Rural,Yes,3.0,24,Male,Child,Single/Never Married,Secondary education,Informally employed
uniqueid_7042,No,Rural,Yes,2.0,17,Male,Child,Single/Never Married,Primary education,Informally employed
uniqueid_2755,No,Rural,Yes,5.0,25,Female,Child,Single/Never Married,Primary education,Informally employed
uniqueid_8076,No,Rural,Yes,1.0,24,Male,Head of Household,Single/Never Married,Primary education,Self employed
uniqueid_1242,No,Rural,Yes,3.0,23,Female,Spouse,Married/Living together,Secondary education,Informally employed
uniqueid_2777,No,Rural,No,2.0,51,Female,Head of Household,Widowed,Primary education,Informally employed
uniqueid_6100,No,Urban,Yes,4.0,40,Female,Head of Household,Widowed,Primary education,Remittance Dependent
uniqueid_2775,No,Urban,Yes,4.0,25,Female,Spouse,Married/Living together,Primary education,Other Income
uniqueid_3842,No,Rural,No,3.0,28,Female,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_8187,No,Rural,Yes,2.0,36,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
uniqueid_5541,Yes,Urban,Yes,6.0,35,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_5556,No,Rural,Yes,3.0,25,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_1825,No,Rural,Yes,3.0,45,Male,Other relative,Single/Never Married,Primary education,Farming and Fishing
uniqueid_4373,No,Rural,Yes,4.0,24,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_6077,No,Rural,Yes,7.0,38,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_179,No,Rural,Yes,7.0,41,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_8474,No,Rural,Yes,3.0,61,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_4917,No,Rural,No,,35,Female,Parent,Divorced/Seperated,Primary education,Other Income
uniqueid_5150,Yes,Rural,Yes,7.0,37,Female,Spouse,Married/Living together,No formal education,Remittance Dependent
uniqueid_1208,No,Rural,Yes,4.0,30,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_2506,Yes,Rural,Yes,3.0,38,Male,Head of Household,Married/Living together,Secondary education,Informally employed
uniqueid_6685,No,Rural,Yes,3.0,54,Female,Head of Household,Widowed,Primary education,Other Income
uniqueid_21,No,Rural,Yes,7.0,37,Female,Spouse,Married/Living together,Primary education,Self employed
uniqueid_6341,No,Rural,Yes,6.0,49,Male,Head of Household,Married/Living together,Secondary education,Informally employed
uniqueid_6074,Yes,Rural,Yes,,40,Male,Head of Household,Married/Living together,No formal education,Self employed
uniqueid_2609,No,Rural,Yes,5.0,38,Female,Head of Household,Divorced/Seperated,Primary education,Formally employed Private
uniqueid_1063,No,Rural,Yes,4.0,60,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
uniqueid_1065,No,Rural,Yes,5.0,32,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_4901,No,Rural,Yes,5.0,30,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_2181,No,Rural,Yes,4.0,32,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_5565,No,Urban,Yes,8.0,21,Male,Parent,Single/Never Married,Secondary education,Formally employed Government
uniqueid_6663,No,Urban,No,1.0,33,Male,Head of Household,Single/Never Married,No formal education,Informally employed
uniqueid_4778,No,Rural,Yes,5.0,28,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_3632,No,Urban,No,1.0,72,Female,Head of Household,Widowed,No formal education,Remittance Dependent
uniqueid_1803,No,Rural,Yes,,19,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
uniqueid_4826,No,Rural,Yes,3.0,30,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_7234,No,Rural,No,5.0,22,Female,Other relative,Single/Never Married,Primary education,Informally employed
uniqueid_8467,Yes,Rural,Yes,,48,Male,Head of Household,Married/Living together,Secondary education,Informally employed
uniqueid_6237,No,Rural,Yes,4.0,70,Female,Head of Household,Widowed,Primary education,Farming and Fishing
uniqueid_1808,No,Rural,Yes,4.0,27,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
uniqueid_262,No,Rural,No,5.0,24,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_7331,No,Rural,Yes,3.0,31,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_7965,Yes,Rural,Yes,4.0,29,Female,Spouse,Married/Living together,Primary education,Other Income
uniqueid_4690,No,Rural,Yes,5.0,42,Female,Head of Household,Widowed,Tertiary education,Farming and Fishing
uniqueid_2319,No,Rural,Yes,4.0,39,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_5009,No,Rural,No,4.0,28,Female,Spouse,Married/Living together,Primary education,Self employed
uniqueid_2967,No,Rural,Yes,,24,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_8116,No,Rural,Yes,6.0,35,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_256,No,Rural,Yes,,45,Male,Head of Household,Married/Living together,Primary education,Government Dependent
uniqueid_3441,No,Rural,Yes,8.0,34,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_6045,No,Rural,Yes,4.0,28,Female,Spouse,Married/Living together,No formal education,Informally employed
uniqueid_3086,No,Rural,Yes,2.0,48,Male,Head of Household,Divorced/Seperated,Secondary education,Farming and Fishing
uniqueid_1117,No,Rural,Yes,3.0,28,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_404,No,Rural,Yes,,45,Female,Head of Household,Widowed,Primary education,Informally employed
uniqueid_4448,No,Urban,Yes,4.0,26,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_4712,No,Rural,No,1.0,65,Female,Head of Household,Widowed,Primary education,Farming and Fishing
uniqueid_7705,No,Rural,Yes,4.0,25,Female,Spouse,Married/Living together,Primary education,Self employed
uniqueid_5379,No,Urban,Yes,3.0,18,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
uniqueid_4070,No,Rural,Yes,6.0,38,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_1418,Yes,Urban,Yes,,42,Male,Head of Household,Married/Living together,Tertiary education,Self employed
uniqueid_7450,No,Urban,Yes,4.0,31,Female,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_4176,No,Rural,Yes,4.0,62,Female,Head of Household,Widowed,Primary education,Dont Know/Refuse to answer
uniqueid_4752,No,Rural,Yes,7.0,33,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_6643,No,Rural,No,5.0,32,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_1506,No,Rural,No,1.0,72,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_1585,No,Rural,No,3.0,61,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_8073,No,Rural,Yes,5.0,23,Male,Child,Single/Never Married,Primary education,Farming and Fishing
uniqueid_4904,Yes,Rural,Yes,2.0,63,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_1998,No,Rural,Yes,5.0,20,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
uniqueid_6353,No,Rural,Yes,3.0,24,Male,Other relative,Single/Never Married,Secondary education,Self employed
uniqueid_5494,No,Rural,Yes,10.0,54,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_6185,No,Rural,No,2.0,46,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_7865,No,Rural,No,4.0,56,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_735,Yes,Rural,Yes,4.0,40,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_6976,No,Rural,No,3.0,37,Female,Head of Household,Widowed,No formal education,Government Dependent
uniqueid_8255,No,Rural,Yes,2.0,70,Female,Head of Household,Widowed,No formal education,Remittance Dependent
uniqueid_7767,No,Rural,Yes,4.0,64,Female,Head of Household,Widowed,No formal education,Informally employed
uniqueid_7819,No,Rural,Yes,4.0,22,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_3076,No,Urban,Yes,3.0,49,Female,Spouse,Married/Living together,Primary education,Self employed
uniqueid_1440,Yes,Rural,Yes,5.0,36,Female,Spouse,Married/Living together,Secondary education,Informally employed
uniqueid_4642,No,Rural,Yes,7.0,43,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
uniqueid_6215,Yes,Rural,No,3.0,22,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_114,No,Rural,Yes,8.0,57,Male,Head of Household,Married/Living together,Primary education,Self employed
uniqueid_8141,No,Rural,Yes,3.0,25,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_592,No,Rural,Yes,5.0,33,Female,Spouse,Married/Living together,Vocational/Specialised training,Farming and Fishing
uniqueid_3201,No,Rural,Yes,11.0,19,Male,Parent,Single/Never Married,Primary education,Farming and Fishing
uniqueid_4808,No,Rural,Yes,4.0,35,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_8219,No,Rural,Yes,,58,Female,Spouse,Married/Living together,No formal education,Other Income
uniqueid_4911,No,Urban,Yes,8.0,19,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
uniqueid_8580,No,Rural,No,5.0,31,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_3366,No,Rural,Yes,5.0,77,Male,Head of Household,Widowed,Primary education,Farming and Fishing
uniqueid_2828,No,Rural,Yes,6.0,27,Female,Spouse,Married/Living together,Secondary education,Self employed
uniqueid_2008,No,Rural,Yes,8.0,34,Female,Spouse,Married/Living together,No formal education,Informally employed
uniqueid_275,No,Rural,No,1.0,69,Female,Head of Household,Married/Living together,No formal education,Government Dependent
uniqueid_8439,No,Rural,Yes,4.0,27,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
uniqueid_5303,No,Rural,Yes,4.0,35,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_1662,No,Urban,Yes,,19,Female,Child,Single/Never Married,Secondary education,Informally employed
uniqueid_8012,No,Rural,Yes,3.0,17,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
uniqueid_8469,No,Urban,Yes,4.0,22,Female,Spouse,Married/Living together,No formal education,Informally employed
uniqueid_333,No,Rural,Yes,4.0,24,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_1206,No,Urban,Yes,2.0,21,Female,Head of Household,Single/Never Married,Primary education,Government Dependent
uniqueid_2007,No,Rural,Yes,,27,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_52,No,Rural,Yes,11.0,53,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_672,No,Rural,No,4.0,30,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_4396,No,Rural,Yes,8.0,37,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_1602,No,Rural,Yes,4.0,28,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
uniqueid_7683,No,Rural,Yes,3.0,61,Female,Head of Household,Widowed,No formal education,Government Dependent
uniqueid_7502,No,Rural,Yes,4.0,28,Female,Spouse,Married/Living together,Primary education,Informally employed
uniqueid_1361,No,Rural,Yes,2.0,28,Female,Head of Household,Single/Never Married,Primary education,Farming and Fishing
uniqueid_5745,No,Rural,Yes,2.0,52,Female,Head of Household,Widowed,Primary education,Self employed
uniqueid_1197,No,Rural,Yes,3.0,27,Male,Child,Single/Never Married,No formal education,Informally employed
uniqueid_5795,Yes,Rural,Yes,6.0,29,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
uniqueid_1596,No,Rural,Yes,4.0,26,Male,Head of Household,Married/Living together,Primary education,Informally employed
uniqueid_7536,No,Rural,Yes,3.0,40,Female,Head of Household,Widowed,No formal education,Farming and Fishing
uniqueid_8409,No,Rural,Yes,5.0,30,Female,Spouse,Married/Living together,No formal education,Informally employed
uniqueid_8456,No,Rural,Yes,1.0,49,Male,Head of Household,Single/Never Married,No formal education,Farming and Fishing
uniqueid_8414,No,Rural,Yes,,38,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
uniqueid_4790,No,Rural,Yes,6.0,18,Female,Child,Single/Never Married,Primary education,Self employed
uniqueid_3458,No,Rural,No,5.0,38,Female,Spouse,Married/Living together,No formal education,Informally employed
uniqueid_6097,No,Rural,No,,62,Female,Spouse,Married/Living together,No formal education,Informally employed
uniqueid_7934,Yes,Rural,Yes,,51,Male,Head of Household,Single/Never Married,No formal education,Farming and Fishing
uniqueid_197,No,Rural,Yes,6.0,35,Female,Spouse,Married/Living together,Secondary education,Informally employed
uniqueid_1568,No,Rural,No,5.0,54,Male,Head of Household,Married/Living together,No formal education,Informally employed
uniqueid_6999,No,Rural,Yes,6.0,47,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
uniqueid_8110,No,Rural,Yes,4.0,38,Female,Head of Household,Divorced/Seperated,Primary education,Remittance Dependent
uniqueid_1433,No,Rural,Yes,1.0,27,Male,Head of Household,Single/Never Married,Secondary education,Self employed
uniqueid_7291,No,Rural,No,4.0,53,Female,Head of Household,Widowed,Primary education,Informally employed
uniqueid_3124,No,Rural,Yes,4.0,41,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
uniqueid_7414,No,Rural,Yes,4.0,17,Female,Parent,Single/Never Married,Secondary education,Informally employed
uniqueid_8295,No,Rural,Yes,3.0,72,Female,Head of Household,Widowed,No formal education,Self employed
uniqueid_4936,No,Rural,Yes,4.0,32,Female,Spouse,Married/Living together,Primary education,Self employed
uniqueid_3880,No,Urban,No,3.0,57,Female,Head of Household,Widowed,No formal education,Remittance Dependent
uniqueid_7754,No,Rural,Yes,5.0,32,Female,Parent,Widowed,Primary education,Farming and Fishing
uniqueid_4424,No,Rural,No,2.0,55,Female,Head of Household,Widowed,No formal education,Informally employed
